FG_RA FG_DEC Z_FG theta filter mag
0.354768 0.002621 1.9895620346069336 24.551570184964575 g 19.658296
0.817998 -0.363591 0.5192000269889832 40.62017168055402 u 21.237000000000002
2.017612 -0.656384 1.6128959655761719 16.942546620694436 g 20.123255999999998
2.021589 -0.662995 1.9380849599838257 20.984136012857928 g 20.348256
3.238559 1.257595 0.5046669840812683 9.578656720006029 u 18.746
5.458074 16.035755 0.8366010189056396 23.21677423326465 u 18.497
6.183837 0.539226 0.40258198976516724 19.880393936893977 u 16.961000000000002
6.45573 -0.90572 0.5615919828414917 30.542990749479223 u 20.406
6.599117 13.923205 1.3191510438919067 30.127283582117585 u 19.796
7.370008 0.035604 0.9802370071411133 32.75858374542281 u 20.031
7.638575 0.918345 1.458088994026184 26.927120961432045 u 20.099999999999998
8.457781 15.770364 1.265105962753296 24.344571198365177 u 19.892
9.186325 16.141861 0.4654420018196106 36.571952947082636 u 20.073999999999998
9.774593 -0.117134 1.0122109651565552 11.538438770328465 u 20.083
10.165496 14.140959 0.6726599931716919 37.013830837960384 u 20.01
10.361135 1.243686 1.1973880529403687 28.654163562302653 u 19.732
10.401354 13.925915 0.8824380040168762 33.452546502555236 u 19.272
10.659327 13.848557 1.7760939598083496 30.450342991420452 g 19.746983999999998
10.909549 0.089946 0.8218309879302979 30.270815688436745 u 19.134
11.175309 -0.70286 0.558131992816925 42.55217484166218 u 20.279
11.477675 0.186617 1.510151982307434 20.55740877626693 u 19.649
11.988573 14.794989 1.6196869611740112 9.39144342968157 g 19.049896
14.061717 1.059176 1.2015739679336548 18.574334293598636 u 20.093999999999998
14.332307 -1.002892 0.6493750214576721 33.90619898367473 u 19.874
14.620568 0.229686 1.2407350540161133 29.92705365529431 u 20.027
15.03034 -0.538486 0.7365959882736206 40.222617078803744 u 19.746
15.849337 -0.04839 1.753741979598999 8.437075993452204 g 19.620552
15.950576 15.032592 1.321051001548767 22.341100394997422 u 18.82
16.56832 0.949125 1.8683099746704102 22.50868555984974 g 20.00132
17.368127 1.075565 0.4476819932460785 42.77987598286271 u 19.713
17.644963 0.041796 0.5779290199279785 31.406636520039456 u 20.02
18.16533 0.328742 0.6833959817886353 37.41674941601137 u 19.807
18.626011 0.072483 0.4548510015010834 36.36199888263188 u 21.137
20.36306 13.497879 1.4040169715881348 24.759587396013103 u 19.237000000000002
20.667208 -0.544372 0.8854510188102722 12.199583214568097 u 18.968
22.311495 -0.541418 0.6887630224227905 27.259875684404413 u 20.598
22.938844 0.798383 1.0799059867858887 33.61814606558054 u 19.706
23.740492 -0.241855 1.0276540517807007 34.39919124009171 u 19.92
23.75345 -0.681775 1.0063300132751465 21.9615897321141 u 19.858
24.507379 14.7268 0.7700639963150024 33.56203872692312 u 19.883
25.959131 1.13951 1.3597300052642822 15.858341599362431 u 19.99
26.625594 0.255928 0.9244080185890198 15.94894007075398 u 20.189
26.63469 0.265853 0.4092850089073181 32.71052010390693 u 20.688000000000002
27.167094 0.206759 1.497838020324707 11.633133555246726 u 19.567999999999998
27.753196 0.943032 0.4917359948158264 16.503859211782178 u 20.163
28.132832 14.146397 0.5610479712486267 39.73795356393645 u 19.038999999999998
